,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44,Continent Name
61,Indonesia,IDN,2000,21.86,107664942,106407480,214072421,23.7,0.595,23.34531803,42.002,48.139,770.865351580294,49.665604335334336,Asia
62,India,IND,2000,27.001,548223581,511410095,1059633675,21.6,0.491,70.47513018,27.667,28.113,442.034778911498,46.45467274164776,Asia
63,Ireland,IRL,2000,14.4,1890633,1914541,3805174,31.5,0.847,11.0279213,59.155,47.945,26334.5672050501,45.7204774205558,Europe
64,Iraq,IRQ,2000,36.25,12245808,12383050,24628858,17.0,0.589,50.92544334,68.496,8.934,1963.72283862715,43.55398938250308,Asia
65,Iceland,ISL,2000,15.3,140748,140457,281205,31.9,0.871,6.862278769,92.401,71.873,32096.3722613695,44.57090016715866,Europe
66,Israel,ISR,2000,21.7,3099279,3189721,6289000,26.7,0.844,23.32743848,91.203,47.499,21630.7476087887,43.35394867786475,Asia
67,Italy,ITA,2000,9.5,27550271,29391838,56942108,39.2,0.841,24.24042054,67.222,30.394,20137.5912217673,40.71545885119918,Europe
68,Jamaica,JAM,2000,19.12,1293403,1318802,2612205,22.1,0.664,15.00473993,51.814,52.946,3447.30389648976,48.37837673888883,North America
69,Jordan,JOR,2000,29.659,2625119,2431055,5056174,18.6,0.678,29.1775103,78.27,9.422,1673.35812510644,46.41231893149267,Asia
70,Japan,JPN,2000,9.5,62126711,64716290,126843000,40.7,0.877,12.79177676,78.649,47.011,39169.3595701504,38.11984794405734,Asia
71,Kazakhstan,KAZ,2000,14.92,7086252,7797373,14883626,26.7,0.68,18.03449697,56.098,56.067,1229.00096132728,46.738961238514406,Asia
72,Kenya,KEN,2000,39.934,15293161,15558445,30851606,15.6,0.481,25.47181528,19.892,68.107,411.821352113869,44.60818545812261,Africa
73,Cambodia,KHM,2000,27.562,5956510,6162331,12118841,18.1,0.425,27.44127631,18.586,72.601,301.516598526092,45.44035365838026,Asia
74,Kuwait,KWT,2000,21.617,1132811,802091,1934901,25.1,0.787,63.06021564,99.0,43.42,19493.8880490915,54.85524709789783,Asia
75,Liberia,LBR,2000,43.606,1424909,1470314,2895224,17.5,0.438,50.11199831,44.331,70.259,301.87646966176,43.060855347614414,Africa
76,Libya,LBY,2000,21.195,2712865,2441925,5154790,21.5,0.712,39.6695789,76.387,23.168,7424.35347156722,51.13102391167304,Africa
77,Sri Lanka,LKA,2000,18.189,9346333,9430039,18776371,26.4,0.688,24.17892698,18.38,32.158,869.753488572239,48.65775998687597,Asia
78,Lesotho,LSO,2000,28.987,977454,1021176,1998630,18.5,0.452,30.37208717,19.548,54.169,443.949949675926,45.4228262317171,Africa
79,Lithuania,LTU,2000,9.8,1626157,1873378,3499536,35.1,0.766,14.35994595,66.986,47.509,3293.22997867086,41.75285578765354,Europe
80,Luxembourg,LUX,2000,13.1,215218,221082,436300,36.2,0.864,13.12933947,84.216,40.043,48659.5988753233,42.68078879773126,Europe
81,Latvia,LVA,2000,8.6,1080560,1286989,2367550,37.0,0.756,17.24708544,68.067,42.494,3361.64086880275,39.83640224886357,Europe
82,Morocco,MAR,2000,22.74,14279162,14275254,28554415,21.3,0.521,32.24000904,53.335,21.89,1492.37707519531,49.37635608362402,Africa
83,Moldova,MDA,2000,11.654,1384963,1539705,2924668,31.6,0.641,19.14252217,44.589,51.566,440.538683980372,44.61967228568793,Europe
84,Madagascar,MDG,2000,40.417,8147724,8068707,16216431,16.3,0.443,17.23831043,27.121,79.116,285.466463233818,42.86707895081572,Africa
85,Maldives,MDV,2000,20.539,145914,136593,282507,17.8,0.628,14.10382753,27.706,36.195,2209.98823138762,47.42683529476358,Asia
86,Mexico,MEX,2000,24.158,47900060,49973382,97873442,21.8,0.709,30.40916722,74.722,37.571,7581.84564147003,48.70309257836506,North America
87,North Macedonia,MKD,2000,14.5,1019933,1006416,2026350,32.0,0.675,41.70419101,58.548,27.079,1861.89899780644,44.937735292621134,Europe
88,Mali,MLI,2000,47.112,5670841,5568260,11239101,15.4,0.317,60.98426266,28.356,59.633,263.498384244829,40.3052030616386,Africa
89,Malta,MLT,2000,11.3,193798,196289,390087,35.8,0.779,16.00051716,92.368,27.371,10432.328062168,41.15770033004616,Europe
90,Myanmar,MMR,2000,22.942,22768081,22770251,45538332,22.9,0.41,33.39348749,27.025,61.475,195.550995666386,49.03400166660436,Asia
91,Mongolia,MNG,2000,20.419,1216362,1234617,2450979,20.7,0.598,27.08689915,57.133,52.865,463.853881903101,51.04441296369645,Asia
92,Mozambique,MOZ,2000,43.734,8655917,9112588,17768505,16.6,0.303,22.68514994,29.098,84.117,333.775138348215,42.62135520666576,Africa
93,Mauritania,MRT,2000,37.792,1349905,1345099,2695003,16.6,0.465,71.87885097,38.091,24.738,660.303861060692,42.818983145100525,Africa
94,Mauritius,MUS,2000,17.0,592881,593992,1186873,27.9,0.681,14.87889667,42.67,33.978,3929.08178166029,49.79035699701496,Africa
95,Malawi,MWI,2000,45.366,5464600,5764787,11229387,16.0,0.374,25.08789463,14.61,73.753,225.952456739454,42.30473736497121,Africa
96,Malaysia,MYS,2000,23.047,11631359,11313791,22945150,22.9,0.721,20.58290419,61.977,42.52,4087.56259349384,48.34163013971178,Asia
97,Namibia,NAM,2000,31.405,880704,938437,1819141,17.9,0.546,25.48152446,32.373,37.004,2156.09024524858,44.97744654143008,Africa
98,Niger,NER,2000,52.659,5854008,5768657,11622665,15.3,0.262,76.8338891,16.186,68.173,192.877725789359,40.4559536522932,Africa
99,Nicaragua,NIC,2000,27.61,2528472,2594751,5123222,18.0,0.566,21.72911591,55.185,32.986,996.89785199474,46.54785757862706,North America
100,Netherlands,NLD,2000,13.0,7877546,8047967,15925513,36.4,0.893,16.7914327,76.795,52.304,26214.498549887,42.13633160176798,Europe
101,Norway,NOR,2000,13.2,2224232,2266735,4490967,35.8,0.913,10.09080673,76.02,59.26,38178.2368777076,40.506984681630286,Europe
102,Nepal,NPL,2000,30.614,12397651,12161850,24559500,18.4,0.467,67.03447171,13.397,19.218,223.711891850609,43.057661583462256,Asia
103,New Zealand,NZL,2000,14.66,1893809,1963891,3857700,33.3,0.887,6.76699141,86.021,53.978,13641.1027183822,43.83227388248149,Oceania
104,Oman,OMN,2000,24.787,1343767,1000486,2344253,19.6,0.705,43.15936887,71.569,21.683,8321.39386651557,46.30447287394683,Asia
105,Pakistan,PAK,2000,35.761,79746052,74623871,154369924,17.2,0.441,57.71889497,32.982,16.06,644.457156981743,42.86686466005719,Asia
106,Panama,PAN,2000,23.538,1508117,1493614,3001731,23.3,0.721,16.61990036,62.198,40.422,4099.00653989315,48.44061168393851,North America
107,Peru,PER,2000,23.719,13290367,13364073,26654439,21.5,0.676,27.58052413,73.042,50.899,1941.318259717,47.61216687503008,South America
108,Philippines,PHL,2000,28.769,39394372,38563851,77958223,20.0,0.633,28.6033286,46.135,45.258,1073.26443619332,46.40041006278129,Asia
109,Papua New Guinea,PNG,2000,34.152,2876874,2631423,5508297,18.5,0.447,16.74391589,13.204,69.87,639.279199918609,47.42255426056549,Oceania
110,Poland,POL,2000,9.9,18574609,19684019,38258629,34.3,0.793,27.85155025,61.716,40.798,4501.47996121234,43.370304749487566,Europe
111,Portugal,PRT,2000,11.7,4962453,5327445,10289898,36.7,0.791,11.7170415,54.399,50.208,11526.3720667968,42.46869350622418,Europe
112,Paraguay,PRY,2000,27.171,2589005,2534814,5123819,19.1,0.649,15.78350996,55.331,47.558,1728.34074341006,45.282465442737546,South America
113,Qatar,QAT,2000,19.18,433815,212122,645937,28.8,0.801,77.779763,96.311,43.295,27494.7713320186,53.91331403626214,Asia
114,Romania,ROU,2000,10.4,10871696,11571276,22442971,33.6,0.715,19.83799172,53.004,54.493,1659.92904910528,43.11347563886116,Europe
115,Rwanda,RWA,2000,40.923,3904282,4205706,8109989,15.4,0.34,38.80035805,14.926,46.674,255.111967825778,44.31940796622491,Africa
116,Saudi Arabia,SAU,2000,27.656,12317247,9230142,21547390,21.2,0.737,57.83613661,79.848,14.558,8795.26059641872,47.895351989167686,Asia
